Headline,Category,Type
"""Woman wins hot dog eating contest after training with a pack of wild dogs""",food,Real
"""World record broken for longest synchronized swimming routine involving inflatable ducks""",sports,Real
"""Dolphin hosts underwater cooking show, teaches viewers how to make sushi""",animal,AI
"""Florida Woman Creates DIY Hurricane Shelter out of Inflatable Pool""",florida,AI
"""Horse becomes a philanthropist, donates all its winnings to charity""",animal,AI
"""New diet trend involves exclusively eating food shaped like animals""",food,Real
"""Vegan restaurant unveils meat-flavored vegetables""",food,Real
"""Restaurant offers free meals to anyone who can juggle their food for 10 minutes""",food,Real
"""Suspect Caught Stealing All the Left Shoes from a Shoe Store""",crime,Real
"""Celebrity Hamster Caught Sneaking Into VIP Lounge at Pet Expo""",animal,Real
"""Study reveals that eating ice cream for breakfast can improve mental performance""",science,Real
"""Study Shows That Eating Chocolate Actually Helps You Lose Weight""",science,AI
"""Florida Man tries to rob bank with a banana""",florida,Real
"""Study shows that the scent of a romantic partner can reduce stress""",science,Real
"""Scientists Develop Pill That Makes Broccoli Taste Like Chocolate""",food,Real
"""Research suggests that napping can boost productivity""",science,Real
"""Pizza delivery driver caught mooning customers, claims it was a prank gone wrong""",crime,AI
"""World champion in competitive eating disqualified for using performance-enhancing bib""",sports,Real
"""Researchers Create a Vaccine That Prevents Hangovers""",science,AI
"""Research finds that beer makes you friendlier""",science,Real
"""French fry thief on the loose, police dub them the fry bandit """,food,AI
"""Scientists Create a Machine That Turns Water into Unlimited Wine""",science,AI
"""Raccoon con artist dupes local residents out of their snacks""",animal,AI
"""Local bakery creates life-sized bread sculptures of famous celebrities""",food,Real
"""Survey Shows People Prefer Peanut Butter and Pickle Sandwiches Over Peanut Butter and Jelly""",food,AI
"""Man Arrested for Stealing 100 Pairs of Underwear from Local Target""",crime,Real
"""Competitive Eater Wins Hot Dog Eating Contest by Swallowing Hot Dogs Whole""",sports,AI
"""Turtle sets new world record for fastest shell polish""",animal,AI
"""Turtle Races Emerge as Surprisingly Popular Local Sport""",animal,Real
"""Local Man Sets World Record for Most Pickles Eaten in One Minute""",food,Real
"""Llama escapes petting zoo, found leading yoga class in nearby park""",animal,Real
"""Town declares war on pigeons after series of daring bank heists""",news,AI
"""Man sets new world record for juggling while riding a unicycle on a tightrope""",sports,Real
"""Scientists discover new species of dancing ants with synchronized routines""",news,AI
"""Man Claims Eating Raw Eggs Gives Him Superhuman Strength""",food,Real
"""Florida Man Starts Business Selling Customized Crocs for Cats""",florida,AI
"""New Trend Alert: Hot Dog Ice Cream Sandwiches""",food,AI
"""Local Cat Unveils Master Plan to Take Over Town by Opening Catnip Dispensary""",news,Real
"""Komodo Dragon Enrolls in College, Majors in Zoology""",animal,AI
"""Sloth named world's fastest tree climber in annual competition""",animal,AI
"""Study Reveals That Owning a Cat Can Increase Your Lifespan by 10 Years""",science,AI
"""Expert warns that excessive consumption of pickles could turn your skin green """,food,AI
"""Government Announces Mandatory Emoji Use in All Official Documents""",news,Real
"""Local Grandma Gets Hip Replacement, Dances Her Way to Gold in Senior Olympics""",news,Real
"""Florida Man Races Alligator and Wins""",florida,AI
"""Teenager Crowned Champion in Extreme Pogo Stick Jumping Competition""",sports,AI
"""Walrus Takes Up Ice Sculpting, Creates Masterpieces in Arctic Ocean""",animal,AI
"""Hamster Invents Wheel That Never Stops Spinning, Energy Crisis Solved""",animal,AI
"""Parrot caught impersonating owner to order pizza delivery""",animal,Real
"""Researchers Develop a Pill That Makes You Immune to Bad Jokes""",science,AI
"""Scientists discover a new species of giant avocado that can feed a whole family """,food,AI
"""Restaurant introduces the world's first menu made entirely of emojis""",food,Real
"""Scientists discover that laughter is contagious""",science,Real
"""Study Says Eating Donuts for Breakfast Increases Lifespan""",food,Real
"""World Champion Hula-Hooper Breaks Record for Longest Continuous Spin""",sports,AI
"""Study Finds Eating Chocolate Cake for Breakfast Promotes Productivity""",food,AI
"""New Study Shows Drinking Beer Makes You Smarter""",food,Real
"""Florida Woman Launches Petition to Rename State ""Floriduh""""",florida,AI
"""Woman Arrested for Smuggling Pickles Across State Lines""",crime,Real
"""Elephant caught on camera attempting to breakdance at the zoo""",animal,AI
"""Man Arrested for Impersonating a Llama on the Freeway""",crime,Real
"""Woman Claims Eating Deep-Fried Twinkies Improved Her Memory""",food,AI
"""Study Finds That Drinking Wine Makes You Smarter""",science,AI
"""Man Breaks into Zoo to Pet Lions, Gets Bitten""",crime,Real
"""Basketball Team Wins Championship by Only Shooting Half-Court Shots """,sports,AI
"""Amazing Air Guitarist Wins National Championship""",sports,AI
"""Study Shows that Eating Ice Cream for Breakfast Increases Productivity by 200%""",news,Real
"""Researchers Confirm Cereal with Warm Milk is the Key to a Good Night's Sleep""",food,AI
"""Man Attempts to Break World Record for Tallest Tower of Twinkies, Fails Miserably""",sports,Real
"""Research shows that talking to your plants can help them grow faster""",science,Real
"""Study Finds Cheeseburgers Are the Key to Longevity""",food,Real
"""Teenager invents the world's first edible shoelaces""",food,Real
"""Local squirrel steals picnic basket, baffles authorities with impressive picnic-savvy """,food,AI
"""Raccoons Organize Late-Night Trash Can Parties in Local Neighborhood""",animal,Real
"""Record-Breaking Jump Rope Marathon Raises Funds for Toy Drive""",sports,AI
"""New study shows that eating popcorn can actually help you lose weight """,food,AI
"""Study Shows That Crying Can Actually Make You Feel Better""",science,AI
"""Cats dominate national chess championship""",sports,Real
"""Chef Creates World's Largest Pancake, Wins Guinness World Record""",food,Real
"""Research shows that eating donuts can help you live longer""",food,Real
"""Sports Team Hires Psychic to Predict Game Outcomes """,sports,AI
"""Man claims to have been abducted by aliens in Florida swamp""",florida,Real
"""Man arrested for stealing 100 pineapples and staging a fruit parade""",crime,AI
"""Teenagers arrested for using slingshots to launch water balloons at passing cars""",crime,AI
"""Ostrich Named Head of Department of Transportation, Promises to Solve Traffic Congestion with Speed and Grace""",news,Real
"""Professional wrestler wins gold in ballroom dancing competition""",sports,Real
"""Pizza delivery guy accidentally gives away his own car instead of pizza """,food,AI
"""Dog elected as president of local homeowners association""",news,AI
"""Man arrested for stealing all the toilet paper from public restrooms""",crime,AI
"""Florida Man Breaks World Record for Longest Pogo Stick Jump in Skyscraper Demolition Zone""",florida,AI
"""Man Accidentally Marries His Cat in Vegas Chapel Mix-Up""",news,Real
"""New Superfood Craze: Avocado Ice Cream""",food,Real
"""Florida Man Becomes First Person to Pole Vault over Alligator Pond at Zoo""",florida,AI
"""Woman discovers secret to eternal youth: bathing in coffee grounds""",news,AI
"""World Record Broken in Competitive Pillow Fighting Championship""",sports,AI
"""Woman arrested for stealing 50 traffic cones to build a fort in her backyard""",crime,AI
"""World's Fastest Snail Sets New Record in Slow-Moving Race""",sports,Real
"""BBQ sauce deemed official condiment of the state """,food,AI
"""Man breaks record for most consecutive hours spent doing the Macarena""",sports,Real
"""Scientists create flying pigs in attempt to solve world hunger crisis""",news,AI
"""Man Attempts to Break World Record for Most Chicken McNuggets Eaten in One Sitting, Fails Miserably""",news,Real
"""Study finds that wearing mismatched socks increases intelligence by 10%""",news,AI
"""Woman Arrested for Stealing People's Garden Gnomes and Holding Them Hostage""",crime,Real
"""Toddlers Break World Record for Cutest Miniature Golf Competition""",sports,AI
"""Scientists Create a Plant That Grows Money Instead of Leaves""",science,AI
"""Parrot Displays Impressive Vocabulary, Holds TED Talk on Philosophy""",animal,Real
"""Sheep starts a knitting club, unveils world's largest sweater""",animal,AI
